ABC-123,320,4500,kartya
DEF-456,210,3200,keszpenz
GHI-789,540,7800,utalas
JKL-111,180,2500,csekk
MNO-222,430,6200,kartya
PQR-333,275,4100,-
VWX-555,390,5600,utalas
YZA-666,150,2200,csekk
BCD-777,610,8900,kartya
CDE-888,205,3100,keszpenz
EFG-999,480,7100,utalas
FGH-101,340,4900,csekk
HIJ-303,295,4300,-
IJK-404,510,7600,keszpenz
JKL-505,170,2600,utalas
ABC-123,445,6500,csekk
DEF-456,360,5200,kartya
GHI-789,230,3400,keszpenz
JKL-111,590,8500,utalas
MNO-222,140,2100,csekk
PQR-333,410,6000,kartya
VWX-555,260,3900,keszpenz
YZA-666,530,7900,utalas
BCD-777,315,4700,-
CDE-888,200,3000,kartya
EFG-999,470,7000,keszpenz
FGH-101,355,5100,utalas
HIJ-303,185,2800,csekk
IJK-404,620,9100,kartya
JKL-505,245,3600,keszpenz
ABC-123,505,7500,utalas
DEF-456,330,4800,csekk
GHI-789,290,4200,-
JKL-111,560,8200,keszpenz
MNO-222,175,2700,utalas
PQR-333,425,6300,csekk
VWX-555,370,5400,kartya
YZA-666,220,3300,keszpenz
BCD-777,600,8700,utalas
CDE-888,160,2400,csekk
EFG-999,455,6800,kartya
FGH-101,310,4600,keszpenz
HIJ-303,520,7700,utalas
IJK-404,195,2900,csekk
JKL-505,405,5900,kartya
ABC-123,280,4000,keszpenz
DEF-456,575,8400,utalas
GHI-789,145,2300,csekk
JKL-111,440,6600,kartya
MNO-222,350,5000,keszpenz
PQR-333,240,3500,-
VWX-555,490,7200,-
YZA-666,300,4400,kartya
BCD-777,550,8100,keszpenz
CDE-888,165,2500,utalas
EFG-999,415,6100,csekk
FGH-101,380,5500,kartya
HIJ-303,225,3400,keszpenz
IJK-404,605,8800,utalas
JKL-505,155,2350,csekk
ABC-123,460,6900,kartya
DEF-456,325,4750,keszpenz
GHI-789,515,7650,utalas
JKL-111,205,3050,csekk
MNO-222,395,5800,-
PQR-333,270,3950,keszpenz
VWX-555,585,8450,utalas
YZA-666,135,2150,csekk
BCD-777,435,6450,kartya
CDE-888,345,4950,keszpenz
EFG-999,250,3650,utalas
FGH-101,500,7400,csekk
HIJ-303,305,4450,kartya
IJK-404,565,8250,keszpenz
JKL-505,185,2750,utalas
ABC-123,420,6200,-
DEF-456,375,5350,kartya
GHI-789,235,3450,-
JKL-111,615,9000,utalas
MNO-222,150,2250,csekk
PQR-333,450,6750,kartya
VWX-555,335,4850,keszpenz
YZA-666,525,7800,utalas
BCD-777,210,3150,csekk
CDE-888,400,5950,kartya
EFG-999,285,4100,keszpenz
FGH-101,570,8350,utalas
HIJ-303,175,2650,csekk
IJK-404,430,6400,-
JKL-505,365,5250,keszpenz
ABC-123,255,3750,utalas
DEF-456,495,7300,csekk
GHI-789,315,4550,kartya
JKL-111,545,8050,keszpenz
MNO-222,195,2850,utalas
PQR-333,410,6050,csekk
VWX-555,385,5450,kartya
YZA-666,245,3550,-
BCD-777,625,9200,utalas
CDE-888,160,2400,csekk
EFG-999,470,7050,kartya
FGH-101,355,5150,keszpenz
HIJ-303,265,3850,-
IJK-404,510,7550,csekk
JKL-505,325,4650,kartya
ABC-123,580,8500,keszpenz
DEF-456,180,2700,utalas
GHI-789,425,6350,csekk
JKL-111,390,5600,kartya